Date,Round,Home Team,Away Team,Home Goals,Away Goals,Venue
"2025-09-16","League Phase - MD1","Athletic Club","Arsenal","0","2",""
"2025-09-16","League Phase - MD1","PSV","Union Saint-Gilloise","1","3",""
"2025-09-16","League Phase - MD1","Juventus","Borussia Dortmund","4","4",""
"2025-09-16","League Phase - MD1","Benfica","Qarabağ","2","3",""
"2025-09-16","League Phase - MD1","Tottenham Hotspur","Villarreal","1","0",""
"2025-09-16","League Phase - MD1","Real Madrid","Marseille","2","1",""
"2025-09-17","League Phase - MD1","Slavia Praha","Bodø/Glimt","2","2",""
"2025-09-17","League Phase - MD1","Olympiacos","Pafos","0","0",""
"2025-09-17","League Phase - MD1","Ajax","Inter Milan","0","2",""
"2025-09-17","League Phase - MD1","Liverpool","Atletico Madrid","3","2",""
"2025-09-17","League Phase - MD1","Paris Saint-Germain","Atalanta","4","0",""
"2025-09-17","League Phase - MD1","Bayern Munich","Chelsea","3","1",""
"2025-09-18","League Phase - MD1","Copenhagen","Bayer Leverkusen","2","2",""
"2025-09-18","League Phase - MD1","Club Brugge","Monaco","4","1",""
"2025-09-18","League Phase - MD1","Newcastle United","Barcelona","1","2",""
"2025-09-18","League Phase - MD1","Manchester City","Napoli","2","0",""
"2025-09-18","League Phase - MD1","Eintracht Frankfurt","Galatasaray","5","1",""
"2025-09-18","League Phase - MD1","Sporting CP","Kairat Almaty","4","1",""
"2025-09-30","League Phase - MD2","Atalanta","Club Brugge","2","1",""
"2025-09-30","League Phase - MD2","Kairat Almaty","Real Madrid","0","5",""
"2025-09-30","League Phase - MD2","Galatasaray","Liverpool","1","0",""
"2025-09-30","League Phase - MD2","Atletico Madrid","Eintracht Frankfurt","5","1",""
"2025-09-30","League Phase - MD2","Marseille","Ajax","4","0",""
"2025-09-30","League Phase - MD2","Bodø/Glimt","Tottenham Hotspur","2","2",""
"2025-09-30","League Phase - MD2","Pafos","Bayern Munich","1","5",""
"2025-09-30","League Phase - MD2","Chelsea","Benfica","1","0",""
"2025-09-30","League Phase - MD2","Inter Milan","Slavia Praha","3","0",""
"2025-10-01","League Phase - MD2","Qarabağ","Copenhagen","2","0",""
"2025-10-01","League Phase - MD2","Union Saint-Gilloise","Newcastle United","0","4",""
"2025-10-01","League Phase - MD2","Borussia Dortmund","Athletic Club","4","1",""
"2025-10-01","League Phase - MD2","Barcelona","Paris Saint-Germain","1","2",""
"2025-10-01","League Phase - MD2","Monaco","Manchester City","2","2",""
"2025-10-01","League Phase - MD2","Bayer Leverkusen","PSV","1","1",""
"2025-10-01","League Phase - MD2","Arsenal","Olympiacos","2","0",""
"2025-10-01","League Phase - MD2","Villarreal","Juventus","2","2",""
"2025-10-01","League Phase - MD2","Napoli","Sporting CP","2","1",""
"2025-10-21","League Phase - MD3","Barcelona","Olympiacos","6","1",""
"2025-10-21","League Phase - MD3","Kairat Almaty","Pafos","0","0",""
"2025-10-21","League Phase - MD3","Union Saint-Gilloise","Inter Milan","0","4",""
"2025-10-21","League Phase - MD3","Copenhagen","Borussia Dortmund","2","4",""
"2025-10-21","League Phase - MD3","Bayer Leverkusen","Paris Saint-Germain","2","7",""
"2025-10-21","League Phase - MD3","Villarreal","Manchester City","0","2",""
"2025-10-21","League Phase - MD3","Arsenal","Atletico Madrid","4","0",""
"2025-10-21","League Phase - MD3","Newcastle United","Benfica","3","0",""
"2025-10-21","League Phase - MD3","PSV","Napoli","6","2",""
"2025-10-22","League Phase - MD3","Galatasaray","Bodø/Glimt","3","1",""
"2025-10-22","League Phase - MD3","Athletic Club","Qarabağ","3","1",""
"2025-10-22","League Phase - MD3","Eintracht Frankfurt","Liverpool","1","5",""
"2025-10-22","League Phase - MD3","Atalanta","Slavia Praha","0","0",""
"2025-10-22","League Phase - MD3","Sporting CP","Marseille","2","1",""
"2025-10-22","League Phase - MD3","Monaco","Tottenham Hotspur","0","0",""
"2025-10-22","League Phase - MD3","Bayern Munich","Club Brugge","4","0",""
"2025-10-22","League Phase - MD3","Chelsea","Ajax","5","1",""
"2025-10-22","League Phase - MD3","Real Madrid","Juventus","1","0",""
"2025-11-04","League Phase - MD4","Slavia Praha","Arsenal","0","3",""
"2025-11-04","League Phase - MD4","Napoli","Eintracht Frankfurt","0","0",""
"2025-11-04","League Phase - MD4","Juventus","Sporting CP","1","1",""
"2025-11-04","League Phase - MD4","Atletico Madrid","Union Saint-Gilloise","3","1",""
"2025-11-04","League Phase - MD4","Tottenham Hotspur","Copenhagen","4","0",""
"2025-11-04","League Phase - MD4","Bodø/Glimt","Monaco","0","1",""
"2025-11-04","League Phase - MD4","Olympiacos","PSV","1","1",""
"2025-11-04","League Phase - MD4","Paris Saint-Germain","Bayern Munich","1","2",""
"2025-11-04","League Phase - MD4","Liverpool","Real Madrid","1","0",""
"2025-11-05","League Phase - MD4","Pafos","Villarreal","1","0",""
"2025-11-05","League Phase - MD4","Qarabağ","Chelsea","2","2",""
"2025-11-05","League Phase - MD4","Inter Milan","Kairat Almaty","2","1",""
"2025-11-05","League Phase - MD4","Manchester City","Borussia Dortmund","4","1",""
"2025-11-05","League Phase - MD4","Club Brugge","Barcelona","3","3",""
"2025-11-05","League Phase - MD4","Benfica","Bayer Leverkusen","0","1",""
"2025-11-05","League Phase - MD4","Marseille","Atalanta","0","1",""
"2025-11-05","League Phase - MD4","Ajax","Galatasaray","0","3",""
"2025-11-05","League Phase - MD4","Newcastle United","Athletic Club","2","0",""
